"","Country","Year","Week_ahead","Accuracy_rolling","Accuracy_fix","Accuracy_hist","Accuracy_null","MZE_rolling","MZE_fix","MZE_hist","MZE_null","macroMAE_rolling","macroMAE_fix","macroMAE_hist","macroMAE_null","Country_fullName"
"68","LTU",2017,4,0.886,0.886,0.886,0.886,0.114,0.114,0.114,0.114,0.9,0.9,0.9,0.9,"Lithuania"
"69","LUX",2017,1,0.786,0.75,0.607,0.786,0.214,0.25,0.393,0.214,0.376190476190476,0.419047619047619,0.633333333333333,0.271428571428571,"Luxembourg"
"70","LUX",2017,2,0.786,0.786,0.607,0.714,0.214,0.214,0.393,0.286,0.685714285714286,0.738095238095238,0.633333333333333,0.376190476190476,"Luxembourg"
"71","LUX",2017,3,0.75,0.679,0.607,0.75,0.25,0.321,0.393,0.25,0.619047619047619,0.761904761904762,0.633333333333333,0.252380952380952,"Luxembourg"
"72","LUX",2017,4,0.679,0.643,0.607,0.679,0.321,0.357,0.393,0.321,0.642857142857143,0.866666666666667,0.633333333333333,0.528571428571429,"Luxembourg"
"73","LVA",2017,1,0.75,0.786,0.679,0.679,0.25,0.214,0.321,0.321,0.65,0.55,1.63333333333333,0.555882352941176,"Latvia"
"74","LVA",2017,2,0.679,0.714,0.607,0.536,0.321,0.286,0.393,0.464,0.98921568627451,0.78921568627451,1.67254901960784,1.04509803921569,"Latvia"
"75","LVA",2017,3,0.607,0.607,0.536,0.536,0.393,0.393,0.464,0.464,1.27254901960784,1.33921568627451,1.71176470588235,1.45686274509804,"Latvia"
"76","LVA",2017,4,0.571,0.607,0.536,0.5,0.429,0.393,0.464,0.5,1.50588235294118,1.47254901960784,1.71176470588235,1.7578431372549,"Latvia"
"77","MAR",2017,1,0.769,0.788,0.635,0.788,0.231,0.212,0.365,0.212,0.23421568627451,0.21421568627451,0.54843137254902,0.23421568627451,"Morocco"
"78","MAR",2017,2,0.731,0.731,0.577,0.712,0.269,0.269,0.423,0.288,0.250098039215686,0.250098039215686,0.524313725490196,0.272320261437908,"Morocco"
"79","MAR",2017,3,0.692,0.654,0.5,0.615,0.308,0.346,0.5,0.385,0.347091503267974,0.357091503267974,0.571307189542484,0.390424836601307,"Morocco"
"80","MAR",2017,4,0.673,0.654,0.442,0.481,0.327,0.346,0.558,0.519,0.267091503267974,0.287091503267974,0.78718954248366,0.368529411764706,"Morocco"
"81","MDA",2017,1,1,1,1,1,0,0,0,0,0,0,0,0,"Moldova"
"82","MDA",2017,2,1,1,1,1,0,0,0,0,0,0,0,0,"Moldova"
"83","MDA",2017,3,1,1,1,1,0,0,0,0,0,0,0,0,"Moldova"
"84","MDA",2017,4,1,1,1,1,0,0,0,0,0,0,0,0,"Moldova"
"85","MLT",2017,1,0.75,0.714,0.607,0.75,0.25,0.286,0.393,0.25,0.471428571428571,0.4,0.610526315789474,0.253383458646617,"Malta"
"86","MLT",2017,2,0.714,0.679,0.607,0.643,0.286,0.321,0.393,0.357,0.585714285714286,0.6,0.610526315789474,0.306766917293233,"Malta"
"87","MLT",2017,3,0.75,0.643,0.607,0.536,0.25,0.357,0.393,0.464,0.571428571428571,0.605263157894737,0.610526315789474,0.526315789473684,"Malta"
"88","MLT",2017,4,0.714,0.571,0.607,0.607,0.286,0.429,0.393,0.393,0.592481203007519,0.654135338345865,0.610526315789474,0.603007518796993,"Malta"
"89","NLD",2017,1,0.558,0.558,0.423,0.519,0.442,0.442,0.577,0.481,0.73525641025641,0.68525641025641,1.85320512820513,0.818589743589744,"Netherlands"
"90","NLD",2017,2,0.519,0.519,0.269,0.442,0.481,0.481,0.731,0.558,0.778205128205128,0.778205128205128,1.93269230769231,1.05897435897436,"Netherlands"
"91","NLD",2017,3,0.538,0.5,0.346,0.346,0.462,0.5,0.654,0.654,0.728846153846154,0.746153846153846,1.725,0.757692307692308,"Netherlands"
"92","NLD",2017,4,0.5,0.481,0.269,0.308,0.5,0.519,0.731,0.692,0.962179487179487,0.894871794871795,2.28653846153846,1.06474358974359,"Netherlands"
"93","NOR",2017,1,0.643,0.607,0.321,0.571,0.357,0.393,0.679,0.429,0.961904761904762,1.21190476190476,3.65714285714286,1.09761904761905,"Norway"
"94","NOR",2017,2,0.464,0.536,0.321,0.429,0.536,0.464,0.679,0.571,1.57857142857143,1.45,3.65714285714286,1.52857142857143,"Norway"
"95","NOR",2017,3,0.429,0.357,0.286,0.286,0.571,0.643,0.714,0.714,1.67857142857143,1.64285714285714,3.65476190476191,1.80952380952381,"Norway"
"96","NOR",2017,4,0.357,0.429,0.25,0.179,0.643,0.571,0.75,0.821,1.65714285714286,1.47380952380952,3.63571428571429,2.09047619047619,"Norway"
"97","POL",2017,1,0.615,0.615,0.327,0.5,0.385,0.385,0.673,0.5,1.02612554112554,1.03703463203463,2.47668831168831,0.820367965367965,"Poland"
"98","POL",2017,2,0.5,0.519,0.365,0.423,0.5,0.481,0.635,0.577,1.83469696969697,1.67731601731602,2.4728354978355,1.39116883116883,"Poland"
"99","POL",2017,3,0.481,0.423,0.346,0.385,0.519,0.577,0.654,0.615,2.35564935064935,2.41311688311688,2.90874458874459,1.93954545454545,"Poland"
"100","POL",2017,4,0.481,0.481,0.442,0.308,0.519,0.519,0.558,0.692,2.35731601731602,2.55564935064935,3.18850649350649,2.23025974025974,"Poland"
"101","PRT",2017,1,0.846,0.865,0.808,0.865,0.154,0.135,0.192,0.135,0.277536231884058,0.273188405797101,0.767391304347826,0.33768115942029,"Portugal"
"102","PRT",2017,2,0.904,0.923,0.769,0.865,0.096,0.077,0.231,0.135,0.17536231884058,0.12536231884058,0.728260869565217,0.423188405797101,"Portugal"
"103","PRT",2017,3,0.865,0.885,0.788,0.846,0.135,0.115,0.212,0.154,0.198550724637681,0.148550724637681,0.771739130434783,0.442028985507246,"Portugal"
